,SiO2_n,SiO2_k,SiO2_w,SiO2_wk
383,1.514682,0.00023700000000000001,850.986633,850.986633
384,1.514649,0.000236,852.54718,852.54718
385,1.514616,0.000236,854.107727,854.107727
386,1.514582,0.00023500000000000002,855.667969,855.667969
387,1.514549,0.000234,857.22821,857.22821
388,1.514517,0.000233,858.788208,858.788208
389,1.514484,0.00023199999999999997,860.3481449999998,860.3481449999999
390,1.514452,0.000231,861.907837,861.907837
391,1.514419,0.00022999999999999998,863.4674679999998,863.4674679999999
392,1.514387,0.000229,865.0268550000002,865.0268550000001
393,1.514355,0.000229,866.586121,866.586121
394,1.514324,0.00022799999999999999,868.145325,868.145325
395,1.514292,0.000227,869.7042849999998,869.7042849999999
396,1.514261,0.000226,871.263184,871.263184
397,1.51423,0.000225,872.821777,872.821777
398,1.514199,0.00022400000000000002,874.3803710000002,874.3803710000001
399,1.514168,0.00022400000000000002,875.9387820000002,875.9387820000001
400,1.514137,0.000223,877.4969480000002,877.4969480000001
401,1.514107,0.0002220000000000001,879.0550539999998,879.0550539999999
402,1.514076,0.000221,880.612976,880.612976
403,1.514046,0.00022,882.1707150000002,882.1707150000001
404,1.514016,0.00022,883.728333,883.728333
405,1.513986,0.00021899999999999998,885.2858279999998,885.2858279999999
406,1.513957,0.000218,886.8431400000002,886.8431400000001
407,1.513927,0.000217,888.400269,888.400269
408,1.513898,0.000217,889.9573359999998,889.9573359999999
409,1.513868,0.00021600000000000002,891.51416,891.51416
410,1.513839,0.000215,893.070801,893.070801
411,1.51381,0.00021400000000000002,894.6273189999998,894.6273189999999
412,1.513782,0.00021400000000000002,896.183716,896.183716
413,1.513753,0.000213,897.739929,897.739929
414,1.513725,0.000212,899.2960210000001,899.2960210000001
415,1.513696,0.00021099999999999998,900.851868,900.851868
416,1.513668,0.00021099999999999998,902.407593,902.407593
417,1.51364,0.00021,903.963196,903.963196
418,1.5136120000000002,0.00020899999999999998,905.518677,905.5186769999999
419,1.513585,0.00020899999999999998,907.073914,907.0739140000001
420,1.513557,0.00020800000000000001,908.629028,908.629028
421,1.5135299999999998,0.000207,910.18396,910.18396
422,1.513502,0.000206,911.73877,911.7387699999999
423,1.513475,0.000206,913.293335,913.293335
424,1.513448,0.000205,914.847839,914.847839
425,1.513422,0.000204,916.402161,916.402161
426,1.513395,0.000204,917.956238,917.9562380000001
427,1.513368,0.00020299999999999997,919.510254,919.5102539999999
428,1.513342,0.000202,921.064087,921.064087
429,1.513316,0.000202,922.617798,922.617798
430,1.51329,0.00020099999999999998,924.171204,924.1712039999999
431,1.513264,0.0002,925.724609,925.724609
432,1.513238,0.0002,927.27771,927.27771
433,1.513212,0.000199,928.83075,928.83075
434,1.513186,0.000198,930.383606,930.3836060000001
435,1.513161,0.000198,931.936218,931.9362179999999
436,1.513136,0.000197,933.48877,933.4887699999999
437,1.51311,0.000197,935.041138,935.041138
438,1.513085,0.000196,936.593262,936.5932619999999
439,1.51306,0.000195,938.145325,938.145325
440,1.513035,0.000195,939.697083,939.697083
441,1.513011,0.000194,941.24884,941.2488400000001
442,1.5129860000000002,0.000194,942.800293,942.800293
443,1.512962,0.000193,944.351685,944.351685
444,1.512937,0.000192,945.902832,945.902832
445,1.512913,0.000192,947.453796,947.4537960000001
446,1.512889,0.00019099999999999998,949.004578,949.0045779999999
447,1.512865,0.00019099999999999998,950.555298,950.555298
448,1.512841,0.00018999999999999998,952.105774,952.105774
449,1.512818,0.00018899999999999999,953.656128,953.656128
450,1.512794,0.00018899999999999999,955.206238,955.2062380000001
451,1.512771,0.000188,956.756226,956.756226
452,1.5127469999999998,0.000188,958.30603,958.3060300000001
453,1.512724,0.00018700000000000002,959.855774,959.855774
454,1.512701,0.00018700000000000002,961.405151,961.4051509999999
455,1.512678,0.00018600000000000002,962.954468,962.954468
456,1.512655,0.000185,964.503601,964.503601
457,1.512632,0.000185,966.052551,966.052551
458,1.512609,0.000184,967.601379,967.601379
459,1.512587,0.000184,969.150024,969.150024
460,1.512564,0.000183,970.698425,970.698425
461,1.512542,0.000183,972.246704,972.2467039999999
462,1.51252,0.000182,973.794739,973.794739
463,1.512498,0.000182,975.342651,975.3426509999999
464,1.512476,0.000181,976.890442,976.890442
465,1.5124540000000002,0.000181,978.437988,978.4379880000001
466,1.512432,0.00018,979.985352,979.9853519999999
467,1.51241,0.00018,981.532532,981.5325320000001
468,1.512389,0.00017900000000000001,983.07959,983.07959
469,1.512367,0.00017900000000000001,984.626465,984.626465
470,1.512346,0.000178,986.173157,986.1731570000001
471,1.512325,0.000178,987.719604,987.7196039999999
472,1.5123030000000002,0.000177,989.26593,989.26593
473,1.512282,0.000177,990.812134,990.812134
474,1.512261,0.000176,992.358032,992.358032
475,1.51224,0.000176,993.903809,993.903809
476,1.51222,0.000175,995.449402,995.449402
477,1.512199,0.000175,996.994812,996.9948119999999
478,1.512178,0.000174,998.540161,998.5401609999999
